id,advertiser_id,category,bid_price,frequency_cap,active
camp-001,adv-001,IAB13,4.50,5,true
camp-002,adv-001,IAB13,3.80,5,true
camp-003,adv-001,IAB13-1,2.10,3,true
camp-004,adv-002,IAB19,5.20,7,true
camp-005,adv-002,IAB19-6,4.10,7,true
camp-006,adv-002,IAB19,3.30,5,true
camp-007,adv-002,IAB19-30,2.50,4,true
camp-008,adv-003,IAB8,1.90,8,true
camp-009,adv-003,IAB8-1,2.40,6,true
camp-010,adv-003,IAB8-5,1.60,5,true
camp-011,adv-003,IAB8,3.10,5,true
camp-012,adv-004,IAB2,2.20,6,true
camp-013,adv-004,IAB2-2,3.40,5,true
camp-014,adv-004,IAB2,1.80,8,true
camp-015,adv-005,IAB13,6.10,3,true
camp-016,adv-005,IAB13-3,5.30,3,true
camp-017,adv-005,IAB13-7,4.40,4,true
camp-018,adv-006,IAB20,3.70,5,true
camp-019,adv-006,IAB20-1,2.60,7,true
camp-020,adv-006,IAB20-3,2.10,7,true
camp-021,adv-007,IAB5,1.40,10,true
camp-022,adv-007,IAB5-1,1.20,10,true
camp-023,adv-007,IAB5-3,1.80,8,true
camp-024,adv-008,IAB16,2.90,6,true
camp-025,adv-008,IAB16-7,3.20,5,true
camp-026,adv-008,IAB16,2.30,7,true
camp-027,adv-001,IAB13,4.10,5,true
camp-028,adv-002,IAB19,3.60,6,true
camp-029,adv-003,IAB8,2.70,6,true
camp-030,adv-004,IAB2,2.00,7,true
camp-031,adv-005,IAB13,5.80,3,true
camp-032,adv-006,IAB20,3.10,6,true
camp-033,adv-007,IAB5,1.50,9,true
camp-034,adv-008,IAB16,3.00,6,true
camp-035,adv-001,IAB13-2,3.20,5,true
camp-036,adv-002,IAB19-15,4.70,5,true
camp-037,adv-003,IAB8-9,1.70,7,true
camp-038,adv-004,IAB2-5,2.80,6,true
camp-039,adv-005,IAB13-9,5.10,4,true
camp-040,adv-006,IAB20-26,2.40,7,true
camp-041,adv-007,IAB5-13,1.30,10,true
camp-042,adv-008,IAB16-1,2.60,7,true
camp-043,adv-001,IAB13,3.50,5,true
camp-044,adv-002,IAB19,4.20,6,true
camp-045,adv-003,IAB8,2.00,7,true
camp-046,adv-004,IAB2,2.50,6,true
camp-047,adv-005,IAB13,4.80,4,true
camp-048,adv-006,IAB20,3.40,5,true
camp-049,adv-007,IAB5,1.60,9,true
camp-050,adv-008,IAB16,2.80,6,true
