id,campaign_id,width,height,markup
cre-001a,camp-001,300,250,<acmebank-300x250>
cre-001b,camp-001,728,90,<acmebank-728x90>
cre-002a,camp-002,300,250,<acmebank-2-300x250>
cre-003a,camp-003,300,250,<acmebank-3-300x250>
cre-004a,camp-004,300,250,<rockettech-300x250>
cre-004b,camp-004,160,600,<rockettech-160x600>
cre-005a,camp-005,300,250,<rockettech-2-300x250>
cre-006a,camp-006,728,90,<rockettech-3-728x90>
cre-007a,camp-007,300,600,<rockettech-4-300x600>
cre-008a,camp-008,300,250,<greenbites-300x250>
cre-009a,camp-009,300,250,<greenbites-2-300x250>
cre-010a,camp-010,728,90,<greenbites-3-728x90>
cre-011a,camp-011,300,250,<greenbites-4-300x250>
cre-012a,camp-012,300,250,<fastfleet-300x250>
cre-012b,camp-012,160,600,<fastfleet-160x600>
cre-013a,camp-013,300,250,<fastfleet-2-300x250>
cre-014a,camp-014,728,90,<fastfleet-3-728x90>
cre-015a,camp-015,300,250,<novapay-300x250>
cre-015b,camp-015,300,600,<novapay-300x600>
cre-016a,camp-016,300,250,<novapay-2-300x250>
cre-017a,camp-017,728,90,<novapay-3-728x90>
cre-018a,camp-018,300,250,<wander-300x250>
cre-019a,camp-019,300,250,<wander-2-300x250>
cre-020a,camp-020,728,90,<wander-3-728x90>
cre-021a,camp-021,300,250,<edupath-300x250>
cre-022a,camp-022,300,250,<edupath-2-300x250>
cre-023a,camp-023,160,600,<edupath-3-160x600>
cre-024a,camp-024,300,250,<fitforge-300x250>
cre-024b,camp-024,300,600,<fitforge-300x600>
cre-025a,camp-025,300,250,<fitforge-2-300x250>
cre-026a,camp-026,728,90,<fitforge-3-728x90>
cre-027a,camp-027,300,250,<acmebank-x-300x250>
cre-028a,camp-028,300,250,<rockettech-x-300x250>
cre-029a,camp-029,300,250,<greenbites-x-300x250>
cre-030a,camp-030,300,250,<fastfleet-x-300x250>
cre-031a,camp-031,300,250,<novapay-x-300x250>
cre-032a,camp-032,300,250,<wander-x-300x250>
cre-033a,camp-033,300,250,<edupath-x-300x250>
cre-034a,camp-034,300,250,<fitforge-x-300x250>
cre-035a,camp-035,300,250,<acmebank-y-300x250>
cre-036a,camp-036,300,250,<rockettech-y-300x250>
cre-037a,camp-037,300,250,<greenbites-y-300x250>
cre-038a,camp-038,300,250,<fastfleet-y-300x250>
cre-039a,camp-039,300,250,<novapay-y-300x250>
cre-040a,camp-040,300,250,<wander-y-300x250>
cre-041a,camp-041,300,250,<edupath-y-300x250>
cre-042a,camp-042,300,250,<fitforge-y-300x250>
cre-043a,camp-043,300,250,<acmebank-z-300x250>
cre-044a,camp-044,300,250,<rockettech-z-300x250>
cre-045a,camp-045,300,250,<greenbites-z-300x250>
cre-046a,camp-046,300,250,<fastfleet-z-300x250>
cre-047a,camp-047,300,250,<novapay-z-300x250>
cre-048a,camp-048,300,250,<wander-z-300x250>
cre-049a,camp-049,300,250,<edupath-z-300x250>
cre-050a,camp-050,300,250,<fitforge-z-300x250>
